Eng_Strain, Eng_Stress (MPa) 
0.000010, 1.951054 
0.000031, 5.814132 
0.000044, 8.472836 
0.000049, 10.075255 
0.000058, 11.522545 
0.000063, 12.767876 
0.000067, 13.681505 
0.000070, 14.118398 
0.000076, 15.126685 
0.000085, 16.986371 
0.000094, 18.705887 
0.000105, 20.847440 
0.000114, 22.205290 
0.000124, 24.508582 
0.000143, 28.185940 
0.000155, 30.937822 
0.000179, 34.952925 
0.000177, 35.100786 
0.000185, 36.643727 
0.000196, 38.834055 
0.000206, 40.466832 
0.000209, 41.765450 
0.000220, 43.582056 
0.000223, 45.157088 
0.000235, 47.050984 
0.000245, 48.772380 
0.000249, 50.045414 
0.000262, 52.049350 
0.000269, 53.326842 
0.000276, 54.952032 
0.000286, 56.802261 
0.000291, 58.203997 
0.000300, 60.272677 
0.000311, 61.725163 
0.000317, 63.083251 
0.000325, 64.755909 
0.000332, 66.186109 
0.000338, 68.051078 
0.000347, 69.444118 
0.000356, 70.929630 
0.000363, 72.590654 
0.000370, 73.751604 
0.000381, 75.742758 
0.000388, 77.478168 
0.000398, 79.089862 
0.000406, 80.738036 
0.000417, 82.321602 
0.000424, 83.781575 
0.000431, 85.103238 
0.000443, 87.524889 
0.000448, 88.898156 
0.000454, 90.310856 
0.000461, 91.497656 
0.000466, 93.027034 
0.000480, 95.289531 
0.000487, 96.901240 
0.000494, 98.207175 
0.000500, 99.949384 
0.000510, 101.359620 
0.000516, 102.902798 
0.000528, 105.063004 
0.000536, 106.702107 
0.000540, 108.144155 
0.000552, 109.560191 
0.000560, 111.347750 
0.000567, 112.799298 
0.000577, 114.287030 
0.000581, 115.910176 
0.000588, 117.599718 
0.000598, 119.216614 
0.000602, 120.453336 
0.000609, 121.972883 
0.000621, 123.902798 
0.000629, 125.414668 
0.000637, 127.042311 
0.000646, 128.630122 
0.000652, 129.793133 
0.000656, 131.396492 
0.000671, 134.149320 
0.000687, 137.055018 
0.000696, 138.459041 
0.000705, 140.342683 
0.000718, 142.681718 
0.000722, 143.980433 
0.000731, 144.969476 
0.000735, 146.556100 
0.000746, 148.192608 
0.000750, 149.615559 
0.000757, 151.005976 
0.000768, 152.654643 
0.000776, 154.638186 
0.000783, 156.202990 
0.000791, 157.862456 
0.000804, 160.007449 
0.000811, 161.474108 
0.000819, 162.990234 
0.000830, 164.658114 
0.000832, 166.079213 
0.000843, 167.983991 
0.000855, 169.745489 
0.000864, 171.487852 
0.000866, 172.894846 
0.000873, 174.339884 
0.000888, 176.483446 
0.000893, 177.878097 
0.000899, 179.095004 
0.000909, 181.135982 
0.000919, 183.008662 
0.000927, 184.452047 
0.000934, 185.887199 
0.000942, 187.477222 
0.000953, 189.611904 
0.000962, 191.345027 
0.000970, 192.965386 
0.000976, 194.780456 
0.000989, 196.479739 
0.000996, 198.060097 
0.001004, 199.634254 
0.001013, 201.439787 
0.001018, 202.712651 
0.001028, 204.223533 
0.001039, 206.295361 
0.001046, 207.800409 
0.001054, 209.570930 
0.001064, 211.072309 
0.001069, 212.802329 
0.001078, 214.512783 
0.001085, 216.065168 
0.001096, 217.725347 
0.001105, 219.196886 
0.001108, 220.512302 
0.001117, 222.656397 
0.001129, 224.473154 
0.001138, 225.878886 
0.001145, 227.672515 
0.001151, 229.113402 
0.001157, 230.748013 
0.001167, 232.413072 
0.001177, 234.005018 
0.001181, 235.170994 
0.001192, 237.103614 
0.001199, 238.484250 
0.001204, 239.663357 
0.001207, 240.732120 
0.001218, 242.329810 
0.001225, 243.895312 
0.001230, 245.267696 
0.001243, 247.672275 
0.001250, 249.291548 
0.001257, 250.865818 
0.001270, 253.335598 
0.001282, 255.574112 
0.001294, 257.752874 
0.001301, 259.071208 
0.001309, 260.862873 
0.001314, 262.213669 
0.001321, 263.203275 
0.001327, 264.424453 
0.001331, 265.537364 
0.001341, 266.735527 
0.001345, 268.401611 
0.001353, 269.971167 
0.001365, 271.430396 
0.001373, 273.220870 
0.001383, 275.188686 
0.001394, 277.509609 
0.001403, 279.222301 
0.001410, 280.920573 
0.001422, 282.972831 
0.001428, 284.029802 
0.001433, 285.351273 
0.001443, 287.068733 
0.001447, 288.443866 
0.001456, 289.888810 
0.001466, 291.395511 
0.001472, 292.484009 
0.001479, 294.301664 
0.001490, 296.374615 
0.001496, 297.647551 
0.001502, 298.814864 
0.001509, 300.354560 
0.001517, 301.788239 
0.001527, 303.512430 
0.001533, 304.905578 
0.001543, 306.513008 
0.001551, 308.260784 
0.001558, 309.579153 
0.001567, 311.439362 
0.001572, 312.752119 
0.001578, 314.269638 
0.001589, 316.021155 
0.001596, 317.553861 
0.001604, 318.721103 
0.001610, 320.108730 
0.001619, 322.105578 
0.001627, 323.619322 
0.001633, 325.020923 
0.001641, 326.499083 
0.001654, 328.671644 
0.001660, 329.898565 
0.001665, 331.070754 
0.001672, 332.498843 
0.001679, 333.899895 
0.001689, 335.135031 
0.001691, 336.492029 
0.001702, 338.203088 
0.001710, 339.908422 
0.001715, 341.272023 
0.001724, 342.670434 
0.001731, 344.074457 
0.001738, 345.627192 
0.001747, 347.259162 
0.001753, 348.675362 
0.001759, 349.876974 
0.001769, 351.640560 
0.001778, 353.390170 
0.001782, 354.504256 
0.001790, 356.063155 
0.001799, 357.716509 
0.001809, 359.540035 
0.001816, 361.045083 
0.001826, 362.575697 
0.001829, 363.513816 
0.001837, 364.947040 
0.001845, 366.749730 
0.001854, 368.426050 
0.001860, 369.616655 
0.001867, 371.139163 
0.001876, 372.801360 
0.001882, 373.973916 
0.001889, 375.771016 
0.001899, 377.210728 
0.001904, 378.517166 
0.001912, 380.061115 
0.001923, 381.612426 
0.001929, 383.264593 
0.001936, 384.663962 
0.001944, 386.376756 
0.001950, 387.574638 
0.001959, 389.414131 
0.001970, 391.145143 
0.001976, 392.392007 
0.001981, 393.517016 
0.001989, 395.139922 
0.001999, 396.879010 
0.002003, 397.962174 
0.002012, 399.325295 
0.002019, 400.800240 
0.002027, 402.514875 
