Eng_Strain, Eng_Stress (MPa) 
0.000035, 6.876621 
0.000050, 10.064742 
0.000056, 11.307398 
0.000061, 12.345304 
0.000070, 13.751738 
0.000073, 14.229578 
0.000077, 14.938366 
0.000084, 16.784200 
0.000091, 18.507387 
0.000097, 19.654537 
0.000105, 20.868706 
0.000113, 22.447928 
0.000125, 25.076095 
0.000138, 27.470722 
0.000156, 31.153020 
0.000178, 34.722525 
0.000185, 35.986848 
0.000186, 36.965938 
0.000197, 38.518590 
0.000205, 40.470142 
0.000212, 41.802395 
0.000220, 43.284756 
0.000229, 45.059098 
0.000237, 46.747497 
0.000246, 48.844518 
0.000255, 50.306359 
0.000263, 52.256363 
0.000273, 53.943030 
0.000281, 55.492670 
0.000286, 56.759260 
0.000294, 57.878843 
0.000303, 59.587177 
0.000309, 60.906176 
0.000316, 62.225748 
0.000323, 63.951506 
0.000330, 65.333343 
0.000336, 66.392468 
0.000350, 68.236802 
0.000358, 70.543761 
0.000367, 72.286813 
0.000376, 74.162864 
0.000385, 75.924477 
0.000390, 77.541033 
0.000400, 78.919561 
0.000410, 80.345395 
0.000418, 82.083718 
0.000422, 83.290879 
0.000430, 84.556914 
0.000439, 86.305239 
0.000447, 88.188102 
0.000455, 89.850933 
0.000462, 91.203028 
0.000469, 92.373203 
0.000477, 94.163262 
0.000487, 95.803092 
0.000493, 97.293322 
0.000502, 98.781020 
0.000511, 100.415030 
0.000519, 102.137484 
0.000523, 103.669302 
0.000531, 105.047902 
0.000536, 106.656337 
0.000549, 108.335311 
0.000557, 109.994491 
0.000566, 111.759777 
0.000573, 112.963599 
0.000580, 114.711512 
0.000590, 116.436772 
0.000600, 118.039841 
0.000608, 119.901499 
0.000613, 121.176894 
0.000622, 122.659282 
0.000630, 124.489167 
0.000641, 126.142453 
0.000647, 128.110575 
0.000658, 129.627291 
0.000662, 130.816413 
0.000669, 132.192944 
0.000681, 134.612696 
0.000690, 136.479813 
0.000696, 137.560417 
0.000703, 139.205864 
0.000713, 140.903384 
0.000723, 142.606322 
0.000729, 144.126954 
0.000736, 145.634303 
0.000744, 147.132601 
0.000753, 148.804635 
0.000764, 150.268261 
0.000773, 152.049565 
0.000779, 153.920681 
0.000786, 155.264802 
0.000793, 156.720314 
