Eng_Strain, Eng_Stress (MPa) 
0.000026, 5.113910 
0.000042, 8.198725 
0.000053, 10.437085 
0.000059, 11.680666 
0.000065, 12.843189 
0.000073, 14.423990 
0.000077, 14.759525 
0.000083, 16.107669 
0.000088, 17.590630 
0.000099, 19.353359 
0.000106, 20.925001 
0.000113, 22.362508 
0.000128, 24.829204 
0.000140, 27.581848 
0.000157, 31.531001 
0.000172, 33.910144 
0.000181, 35.959625 
0.000187, 37.221270 
0.000194, 38.624501 
0.000204, 40.472811 
0.000213, 41.851302 
0.000218, 43.343995 
0.000229, 44.873732 
0.000234, 46.551968 
0.000245, 48.530466 
0.000253, 50.224877 
0.000261, 51.635188 
0.000267, 52.878337 
0.000275, 54.569725 
0.000284, 56.290907 
0.000292, 57.639864 
0.000300, 59.275845 
0.000308, 60.781025 
0.000314, 62.318114 
0.000322, 63.788716 
0.000330, 65.103041 
0.000334, 66.658881 
0.000345, 68.460572 
0.000356, 70.173074 
0.000363, 71.875052 
0.000369, 73.083318 
0.000377, 74.834410 
0.000389, 76.916077 
0.000395, 78.492373 
0.000400, 79.771717 
0.000411, 81.376074 
0.000422, 83.223952 
0.000427, 84.832346 
0.000436, 86.077653 
0.000445, 88.086182 
0.000451, 89.452261 
0.000457, 90.785964 
0.000468, 92.560738 
0.000475, 94.054351 
0.000479, 94.964004 
0.000487, 96.293971 
0.000496, 97.790933 
0.000502, 99.242131 
0.000512, 101.003206 
0.000523, 103.411454 
0.000534, 105.937879 
0.000545, 107.863666 
0.000553, 109.658621 
0.000562, 111.533538 
0.000572, 113.569966 
0.000584, 115.623287 
0.000590, 116.702338 
0.000594, 117.552953 
0.000602, 119.010427 
0.000609, 120.260482 
0.000615, 121.841672 
0.000621, 123.443551 
0.000629, 124.696410 
0.000639, 126.094121 
0.000649, 128.132459 
0.000657, 130.063906 
0.000669, 132.018885 
0.000675, 133.763624 
0.000685, 135.369943 
0.000691, 136.790223 
0.000697, 138.261820 
0.000710, 139.884712 
0.000714, 141.241037 
0.000720, 142.752686 
0.000731, 144.426741 
0.000736, 145.710848 
0.000744, 147.314946 
0.000754, 149.332605 
0.000766, 151.202282 
0.000770, 152.573123 
0.000776, 153.743033 
0.000785, 155.556497 
0.000793, 157.079378 
0.000806, 159.278326 
0.000810, 160.559531 
0.000816, 161.770481 
0.000827, 163.586389 
0.000834, 165.432508 
0.000845, 167.194674 
0.000851, 168.509067 
0.000860, 170.171642 
0.000866, 171.740736 
0.000878, 173.630245 
0.000884, 175.421889 
0.000893, 176.766771 
0.000899, 178.213074 
0.000907, 179.598004 
0.000915, 181.116517 
0.000926, 182.788122 
0.000933, 184.738823 
0.000942, 186.362470 
0.000948, 187.611446 
0.000957, 189.294395 
0.000966, 191.025230 
0.000973, 192.028903 
0.000980, 193.531963 
0.000986, 195.208687 
0.000995, 197.039977 
0.001002, 198.766425 
0.001013, 200.218844 
0.001020, 201.792234 
0.001027, 203.191738 
0.001033, 204.534342 
0.001042, 206.088295 
0.001049, 207.728403 
0.001058, 209.782404 
0.001066, 211.137011 
0.001073, 212.632196 
0.001081, 214.274010 
0.001095, 216.783073 
0.001101, 218.130083 
0.001109, 219.450494 
0.001115, 221.067880 
0.001122, 222.468853 
0.001131, 224.609266 
0.001137, 225.924283 
0.001146, 227.094245 
0.001160, 229.573349 
0.001168, 231.266120 
0.001173, 232.414111 
0.001178, 233.664996 
0.001186, 235.306759 
0.001194, 236.907187 
0.001202, 238.478356 
0.001213, 240.139665 
0.001220, 241.898823 
0.001231, 243.656291 
0.001236, 245.070642 
0.001243, 246.463388 
0.001253, 247.994858 
0.001263, 250.070003 
0.001267, 251.278382 
0.001276, 252.614506 
0.001286, 254.836376 
0.001295, 256.519930 
0.001302, 257.938905 
0.001310, 259.489851 
0.001319, 261.084021 
0.001326, 262.309431 
0.001333, 263.711886 
0.001339, 265.204977 
0.001344, 266.543766 
0.001355, 268.097203 
0.001364, 270.057524 
0.001372, 271.368007 
0.001380, 272.877893 
0.001388, 274.352539 
0.001395, 276.034222 
0.001405, 278.088039 
0.001417, 280.310164 
0.001418, 281.123024 
0.001425, 282.108691 
0.001436, 283.888148 
0.001440, 285.404860 
0.001454, 287.368868 
0.001461, 288.831696 
0.001467, 290.311367 
0.001476, 292.245239 
0.001483, 293.470101 
0.001490, 295.049859 
0.001502, 296.631568 
0.001508, 297.890381 
0.001512, 299.369139 
0.001528, 301.603030 
0.001534, 302.950205 
0.001539, 304.154032 
0.001549, 305.722614 
0.001556, 307.544502 
0.001563, 309.096512 
0.001572, 310.337857 
0.001574, 311.398812 
0.001582, 312.844401 
0.001591, 314.370567 
0.001597, 315.507217 
0.001603, 317.098722 
0.001615, 319.200774 
0.001626, 320.991170 
0.001629, 321.845750 
0.001633, 322.960557 
0.001645, 324.732966 
0.001650, 325.977356 
0.001658, 327.186689 
0.001666, 329.017975 
0.001670, 330.220847 
0.001679, 331.730827 
0.001683, 332.615468 
0.001694, 334.838037 
0.001706, 337.439841 
0.001722, 340.132538 
0.001727, 342.058463 
0.001739, 343.679371 
0.001753, 346.391633 
0.001758, 347.713517 
0.001761, 348.313228 
0.001765, 349.287441 
0.001771, 350.284227 
0.001777, 351.556148 
0.001784, 352.702379 
0.001789, 353.638635 
0.001793, 354.595155 
0.001804, 356.669752 
0.001814, 358.491787 
0.001818, 359.465635 
0.001826, 361.311901 
0.001835, 363.070541 
0.001844, 364.494068 
0.001855, 366.310897 
0.001864, 368.111457 
0.001871, 369.595557 
0.001874, 370.627294 
0.001884, 371.925715 
0.001890, 373.018317 
0.001896, 374.344897 
0.001903, 375.950607 
0.001913, 377.847724 
0.001919, 378.880389 
0.001926, 380.276322 
0.001934, 381.625719 
0.001943, 383.569259 
0.001949, 384.877721 
0.001954, 385.955155 
0.001962, 387.582679 
0.001971, 389.379656 
0.001983, 391.057625 
0.001987, 392.459046 
0.001994, 393.709845 
0.002003, 395.447882 
0.002009, 396.612337 
0.002013, 397.666767 
0.002021, 398.805999 
0.002031, 400.761230 
0.002037, 402.265797 
0.002045, 403.701086 
0.002056, 405.272413 
0.002057, 406.371951 
0.002064, 407.700598 
0.002071, 409.190204 
0.002080, 411.074165 
0.002089, 412.435477 
0.002095, 413.293726 
0.002101, 414.656693 
0.002107, 415.963801 
0.002118, 417.736007 
0.002126, 419.201594 
0.002132, 420.469233 
0.002136, 421.637823 
0.002143, 423.446679 
0.002151, 424.939518 
0.002165, 426.520656 
0.002168, 427.976807 
0.002180, 429.472052 
0.002184, 430.736985 
0.002190, 431.958614 
0.002200, 433.600120 
0.002205, 434.763260 
0.002212, 436.264294 
0.002218, 437.846145 
0.002226, 439.596173 
0.002235, 440.970079 
0.002234, 440.293576 
0.002236, 440.680337 
0.002240, 441.555764 
0.002251, 443.462542 
0.002260, 445.455061 
0.002268, 446.808180 
0.002276, 448.712138 
0.002285, 450.419953 
0.002294, 452.070255 
0.002299, 453.143067 
0.002312, 455.158102 
0.002319, 456.703755 
0.002322, 457.598993 
0.002330, 458.803782 
0.002336, 460.582340 
0.002343, 461.933617 
0.002351, 463.367928 
0.002357, 464.893771 
0.002365, 466.294967 
0.002370, 467.228019 
0.002377, 468.803631 
0.002386, 470.638763 
0.002394, 471.420968 
0.002400, 472.988234 
0.002409, 474.630418 
0.002416, 476.263429 
0.002423, 478.060482 
0.002432, 479.593956 
0.002438, 480.950945 
0.002448, 482.289328 
0.002453, 483.686689 
0.002460, 484.921174 
0.002472, 487.153028 
0.002478, 488.125738 
0.002487, 489.389768 
0.002494, 490.897418 
0.002497, 491.982145 
0.002507, 493.643198 
0.002516, 495.029658 
0.002519, 496.175807 
0.002527, 497.723640 
0.002535, 499.266662 
0.002540, 500.393903 
0.002548, 501.830019 
0.002560, 504.202158 
0.002567, 505.351126 
0.002574, 506.669586 
0.002584, 508.426869 
0.002588, 509.604969 
0.002595, 510.725219 
0.002602, 511.999549 
0.002608, 513.394580 
0.002613, 514.306995 
0.002617, 515.296997 
0.002627, 516.704281 
0.002629, 517.342367 
0.002636, 518.705447 
0.002639, 519.981431 
0.002648, 521.463632 
0.002660, 523.645416 
0.002670, 525.395557 
0.002687, 528.552644 
0.002699, 530.881329 
0.002704, 532.216028 
0.002712, 533.827463 
0.002725, 535.783370 
0.002727, 536.519753 
0.002728, 536.885426 
0.002738, 538.444950 
0.002743, 539.569560 
0.002746, 539.880051 
0.002750, 541.146036 
0.002758, 542.799759 
0.002767, 543.716912 
0.002776, 545.463444 
0.002782, 547.581964 
0.002791, 548.793031 
0.002799, 549.969590 
0.002813, 552.407360 
0.002821, 554.180092 
0.002827, 555.026012 
0.002833, 556.114235 
0.002837, 557.005263 
0.002845, 558.558960 
0.002854, 560.115476 
0.002860, 561.830921 
0.002867, 562.863587 
0.002876, 563.974890 
0.002878, 565.145096 
0.002889, 566.756682 
0.002897, 568.411044 
0.002905, 569.823854 
0.002914, 571.135549 
0.002918, 572.241213 
0.002926, 573.872796 
0.002936, 575.152877 
0.002940, 576.234071 
0.002947, 577.546254 
0.002957, 579.053377 
0.002967, 580.945382 
0.002974, 582.115476 
0.002983, 583.509567 
0.002988, 584.864075 
0.002998, 586.274180 
0.003005, 587.619930 
0.003013, 588.865917 
0.003019, 590.246551 
0.003028, 591.553246 
0.003037, 593.042213 
0.003045, 594.142240 
0.003055, 595.461113 
0.003066, 597.178965 
0.003064, 597.076006 
0.003076, 598.154983 
0.003085, 599.021201 
0.003090, 600.477014 
0.003101, 601.863963 
0.003110, 603.195241 
0.003121, 604.839304 
0.003131, 605.896628 
0.003141, 607.254107 
0.003152, 608.617825 
0.003163, 609.844867 
0.003170, 611.375559 
0.003183, 612.465248 
0.003196, 613.531369 
0.003203, 614.703342 
0.003215, 615.796790 
0.003227, 616.920197 
0.003241, 618.418562 
0.003254, 619.876630 
0.003267, 620.597527 
0.003277, 621.567380 
0.003294, 623.123294 
0.003311, 624.841484 
0.003325, 625.557381 
0.003337, 626.405706 
0.003351, 627.526820 
0.003368, 628.695260 
0.003384, 629.719505 
0.003403, 631.099237 
0.003419, 631.962335 
0.003436, 632.940984 
0.003454, 633.870879 
0.003472, 634.844191 
0.003489, 635.860730 
0.003510, 636.941059 
0.003529, 638.091869 
0.003545, 638.477690 
0.003560, 639.095628 
0.003581, 640.305793 
0.003602, 641.248957 
0.003617, 641.764726 
0.003637, 642.879299 
0.003662, 643.907341 
0.003680, 644.535654 
0.003706, 645.739052 
0.003728, 646.762470 
0.003753, 647.477427 
0.003770, 647.899072 
0.003793, 648.711950 
0.003812, 649.451039 
0.003835, 650.200616 
0.003859, 651.073413 
0.003882, 651.850167 
0.003906, 652.510920 
0.003929, 653.587453 
0.003955, 654.231402 
0.003977, 654.785851 
0.004002, 655.400782 
0.004030, 656.311469 
0.004056, 656.971920 
0.004080, 657.196218 
0.004100, 657.769161 
0.004127, 658.546856 
0.004153, 659.386159 
0.004179, 660.019096 
0.004208, 660.913243 
0.004238, 661.963200 
0.004264, 661.895125 
0.004290, 662.463181 
0.004323, 663.421795 
0.004349, 663.668985 
0.004378, 664.132391 
0.004407, 665.010036 
0.004440, 665.684434 
0.004467, 665.786941 
0.004496, 666.429049 
0.004528, 667.141864 
0.004560, 667.552983 
0.004589, 668.085855 
0.004619, 668.409691 
0.004649, 668.873849 
0.004687, 669.504417 
0.004718, 669.936924 
0.004750, 670.064391 
0.004785, 670.575273 
0.004819, 671.500996 
0.004859, 672.173439 
0.004888, 672.003045 
0.004920, 672.166823 
0.004954, 672.711160 
0.004987, 672.780664 
0.005018, 673.284103 
0.005054, 673.715070 
0.005089, 673.967410 
0.005123, 674.480660 
0.005160, 675.048115 
0.005199, 675.447656 
0.005231, 675.499493 
0.005267, 675.707176 
0.005303, 676.115739 
0.005340, 676.364094 
0.005381, 677.202007 
0.005420, 677.672330 
0.005456, 677.506108 
0.005494, 677.479307 
0.005535, 677.977747 
0.005575, 678.720220 
0.005614, 678.671691 
0.005651, 678.876894 
0.005693, 679.424238 
0.005728, 679.250611 
0.005767, 679.452054 
0.005807, 680.035635 
0.005847, 680.497500 
0.005888, 680.749690 
0.005927, 680.933917 
0.005969, 681.113784 
0.006010, 681.176409 
0.006047, 681.485772 
0.006090, 681.762734 
0.006127, 681.746570 
0.006167, 682.093035 
0.006210, 682.712138 
0.006253, 682.955155 
0.006298, 683.026162 
0.006339, 683.278202 
0.006381, 683.471864 
0.006417, 683.264256 
0.006460, 683.593617 
0.006502, 683.927940 
0.006538, 683.939969 
0.006580, 684.299966 
0.006626, 684.738826 
0.006668, 684.859527 
0.006701, 684.459647 
0.006739, 684.596700 
0.006779, 685.286847 
0.006816, 685.070255 
0.006847, 684.455738 
0.006879, 684.545766 
0.006922, 686.317257 
0.006963, 685.922189 
0.007000, 685.730707 
0.007054, 687.461752 
0.007107, 687.962598 
0.007162, 688.511258 
0.007217, 688.525204 
0.007272, 688.832011 
0.007324, 688.582115 
0.007369, 688.155246 
0.007410, 687.791753 
0.007443, 687.533925 
0.007482, 687.729955 
0.007515, 687.640229 
0.007548, 687.480397 
0.007583, 688.071345 
0.007623, 688.490772 
0.007662, 688.877232 
0.007702, 688.998835 
0.007748, 689.326993 
0.007791, 689.984212 
0.007834, 689.974627 
0.007878, 690.090591 
0.007926, 690.542420 
0.007968, 690.452129 
0.008007, 690.160358 
0.008047, 690.189001 
0.008089, 690.629854 
0.008127, 690.713040 
0.008163, 690.904522 
0.008207, 690.793294 
0.008239, 690.410706 
0.008281, 691.209187 
0.008327, 691.648611 
0.008369, 691.775101 
0.008411, 692.452881 
0.008461, 692.534075 
0.008504, 692.381310 
0.008546, 692.355599 
0.008589, 692.516182 
0.008630, 692.789573 
0.008667, 692.535992 
0.008709, 692.958576 
0.008757, 693.620456 
0.008798, 693.383904 
0.008840, 693.575725 
0.008885, 693.928730 
0.008928, 693.857572 
0.008968, 693.844078 
0.009010, 693.782130 
0.009051, 693.977333 
0.009091, 694.416645 
0.009138, 694.731684 
0.009178, 694.726271 
0.009219, 694.806150 
0.009263, 695.001128 
0.009303, 695.171184 
0.009347, 695.389016 
0.009388, 695.421907 
0.009433, 695.876405 
0.009475, 695.850581 
0.009513, 695.614555 
0.009557, 695.818291 
0.009599, 696.173552 
0.009639, 696.109875 
0.009678, 696.276473 
0.009723, 696.727850 
0.009770, 696.874826 
0.009814, 697.234710 
0.009856, 697.004248 
0.009892, 696.816675 
0.009935, 697.616134 
0.009981, 697.771266 
0.010022, 697.557080 
0.010061, 697.252941 
0.010102, 697.656655 
0.010147, 698.343758 
0.010197, 698.382175 
0.010235, 698.369319 
0.010280, 698.503665 
0.010319, 698.504830 
0.010361, 698.568131 
0.010400, 698.767808 
0.010441, 699.205240 
0.010486, 699.296658 
0.010532, 699.217006 
0.010570, 698.987633 
0.010611, 699.336428 
0.010653, 699.714168 
0.010694, 699.753449 
0.010732, 699.745066 
0.010780, 700.235500 
0.010819, 700.387550 
0.010864, 700.362440 
0.010908, 700.637635 
0.010947, 700.473217 
0.010987, 700.638875 
0.011034, 701.015562 
0.011070, 700.835846 
0.011112, 700.981205 
0.011146, 700.732098 
0.011191, 701.543134 
0.011235, 701.683306 
0.011274, 701.505770 
0.011315, 701.742097 
0.011357, 702.064917 
0.011396, 701.897079 
