Eng_Strain, Eng_Stress (MPa) 
0.000027, 5.202121 
0.000039, 8.034515 
0.000049, 10.321470 
0.000057, 11.684243 
0.000066, 13.462582 
0.000069, 14.378039 
0.000071, 14.869065 
0.000081, 16.914406 
0.000089, 18.351712 
0.000095, 20.026986 
0.000102, 21.517878 
0.000113, 23.817172 
0.000131, 26.931944 
0.000145, 30.467738 
0.000161, 34.072131 
0.000166, 34.839243 
0.000171, 36.356950 
0.000186, 38.700257 
0.000192, 40.593895 
0.000199, 41.848450 
0.000207, 43.693687 
0.000215, 45.515099 
0.000224, 47.345713 
0.000233, 48.962182 
0.000241, 50.785871 
0.000247, 52.407027 
0.000255, 54.014291 
0.000263, 55.842024 
0.000276, 57.994250 
0.000280, 59.413053 
0.000295, 61.369481 
0.000299, 63.098913 
0.000306, 64.437621 
0.000315, 66.089481 
0.000323, 68.069167 
0.000331, 69.592890 
0.000337, 71.186098 
0.000348, 73.525630 
0.000357, 75.145709 
0.000366, 76.940695 
0.000373, 78.524716 
0.000382, 80.622469 
0.000388, 82.045667 
0.000396, 83.597814 
0.000402, 84.976398 
0.000409, 86.759309 
0.000419, 88.571988 
0.000427, 90.237391 
0.000435, 92.269201 
0.000444, 93.752747 
0.000452, 95.539690 
0.000460, 96.831233 
0.000468, 98.990614 
0.000478, 100.658981 
0.000483, 102.226090 
0.000492, 103.909760 
0.000501, 105.606487 
0.000510, 106.865951 
0.000517, 109.359079 
0.000525, 110.953041 
0.000535, 112.474714 
0.000542, 113.951006 
0.000547, 115.791422 
0.000555, 117.074706 
0.000560, 118.402673 
0.000571, 120.455243 
0.000579, 122.240974 
0.000586, 123.541601 
0.000592, 125.231769 
0.000604, 127.466830 
0.000614, 129.229768 
0.000624, 131.410976 
0.000632, 133.160196 
0.000642, 135.365380 
0.000655, 137.983258 
0.000664, 139.698105 
0.000669, 141.215511 
0.000678, 142.709632 
0.000684, 143.988344 
0.000689, 145.180415 
0.000693, 146.644236 
0.000703, 148.148356 
0.000712, 150.035839 
0.000720, 151.498086 
0.000729, 153.535673 
0.000738, 155.567770 
0.000750, 157.889251 
0.000755, 159.498173 
