Eng_Strain, Eng_Stress (MPa) 
0.000000, -0.011592 
-0.000004, -0.041701 
0.000020, 0.052474 
-0.000012, -0.013680 
0.000021, 0.001355 
-0.000010, -0.021139 
0.000006, 0.036040 
0.000005, 0.033934 
-0.000006, -0.039895 
0.000025, 0.026939 
-0.000015, 0.145380 
0.000029, 0.901647 
-0.000000, 2.827533 
0.000042, 6.700231 
0.000047, 9.623266 
0.000052, 11.520762 
0.000082, 13.284111 
0.000056, 14.445213 
0.000092, 14.844066 
0.000066, 16.289717 
0.000094, 18.112287 
0.000101, 19.713647 
0.000097, 21.469348 
0.000130, 22.697242 
0.000107, 24.852798 
0.000160, 28.153652 
0.000130, 29.936289 
0.000173, 34.041654 
0.000173, 35.303884 
0.000173, 36.975834 
0.000208, 38.972115 
0.000181, 40.914415 
0.000224, 42.462839 
0.000198, 44.228527 
0.000228, 45.837236 
0.000227, 47.369516 
0.000227, 48.818964 
0.000262, 51.041283 
0.000239, 52.626011 
0.000281, 54.171756 
0.000251, 55.801341 
0.000286, 58.005966 
0.000284, 59.453144 
0.000284, 60.925999 
0.000318, 62.901523 
0.000296, 64.575176 
0.000332, 65.829094 
0.000311, 67.457704 
0.000333, 69.089568 
0.000342, 70.944699 
0.000337, 72.613583 
0.000375, 74.476676 
0.000346, 76.138412 
0.000390, 77.560292 
0.000365, 79.931950 
0.000396, 81.083700 
0.000394, 82.860172 
0.000398, 84.682434 
0.000428, 86.051821 
0.000404, 87.464740 
0.000447, 89.388189 
0.000420, 91.074405 
0.000449, 92.520902 
0.000456, 94.775418 
0.000452, 96.376887 
0.000486, 97.991714 
0.000459, 99.456661 
0.000505, 101.837837 
0.000477, 103.634837 
0.000508, 104.584656 
0.000506, 106.056971 
0.000507, 108.137535 
0.000541, 110.160621 
0.000515, 111.643316 
0.000554, 112.912068 
0.000527, 114.734694 
0.000562, 116.641638 
0.000562, 118.343233 
0.000563, 119.870823 
0.000598, 121.594465 
0.000575, 124.062495 
0.000616, 125.488597 
0.000590, 126.938208 
0.000616, 128.693085 
0.000621, 130.230692 
0.000622, 132.029657 
0.000654, 134.011838 
0.000628, 135.821805 
0.000671, 137.306899 
0.000646, 138.903038 
0.000680, 140.994385 
0.000674, 142.651912 
0.000678, 144.057784 
0.000712, 145.782717 
0.000689, 147.527069 
0.000728, 149.387660 
0.000708, 151.131848 
0.000730, 152.645092 
0.000739, 154.511845 
0.000734, 156.197125 
0.000770, 157.705305 
0.000741, 159.394419 
0.000790, 161.480806 
0.000756, 162.965280 
0.000794, 164.639466 
0.000785, 166.058944 
0.000790, 168.062012 
0.000822, 169.599195 
0.000803, 171.635823 
0.000841, 173.347484 
0.000817, 174.893981 
0.000847, 176.732631 
0.000851, 178.606624 
0.000847, 180.119493 
0.000883, 181.692413 
0.000853, 183.200503 
0.000901, 185.218053 
0.000870, 187.250159 
0.000903, 188.974292 
0.000902, 190.476438 
0.000905, 192.178652 
0.000942, 194.589821 
0.000909, 195.966973 
0.000956, 197.361600 
0.000924, 198.982264 
0.000961, 200.997344 
0.000958, 202.310368 
0.000959, 203.809378 
0.000994, 206.097306 
0.000971, 208.228576 
0.001009, 209.294121 
0.000986, 210.769021 
0.001017, 213.022168 
0.001017, 215.065125 
0.001019, 216.235551 
0.001052, 217.534149 
0.001021, 219.067199 
0.001069, 220.817086 
0.001039, 222.216123 
0.001069, 223.460330 
0.001065, 225.424726 
0.001074, 227.129007 
0.001101, 228.856937 
0.001085, 230.829861 
0.001121, 233.175882 
0.001104, 235.086447 
0.001126, 236.608501 
0.001130, 238.086942 
0.001133, 240.112518 
0.001167, 241.986273 
0.001139, 243.340437 
