Eng_Strain, Eng_Stress (MPa) 
-0.000002, 0.034606 
-0.000001, 0.036656 
-0.000000, -0.038030 
-0.000001, 0.166975 
-0.000002, -0.020902 
0.000000, 0.000000 
0.000000, 0.034633 
-0.000000, -0.192212 
-0.000000, 0.096531 
0.000004, 0.783009 
0.000015, 3.253818 
0.000039, 8.216110 
0.000052, 10.630934 
0.000057, 12.059448 
0.000063, 13.597433 
0.000069, 14.452443 
0.000072, 15.056905 
0.000081, 16.519531 
0.000089, 17.963460 
0.000092, 19.228857 
0.000102, 21.052288 
0.000114, 23.294565 
0.000127, 26.335052 
0.000136, 28.731638 
0.000161, 34.153537 
0.000166, 35.194260 
0.000173, 36.421676 
0.000185, 38.912233 
0.000194, 40.606154 
0.000202, 42.007233 
0.000208, 43.897940 
0.000217, 45.606377 
0.000223, 47.003754 
0.000231, 48.507958 
0.000241, 50.362223 
0.000246, 51.988269 
0.000254, 53.913644 
0.000263, 55.473916 
0.000272, 57.017130 
0.000279, 58.424197 
0.000288, 60.441988 
0.000294, 62.117304 
0.000303, 63.690760 
0.000309, 65.266453 
0.000317, 67.011165 
0.000325, 68.451575 
0.000334, 70.559178 
0.000346, 72.281632 
0.000354, 73.823016 
0.000362, 75.641539 
0.000365, 77.122873 
0.000375, 78.678972 
0.000383, 80.330306 
0.000392, 82.055126 
0.000399, 84.012987 
0.000408, 85.684911 
0.000417, 87.460371 
0.000422, 88.979248 
0.000434, 90.692257 
0.000439, 92.360333 
0.000448, 94.100453 
0.000456, 96.101977 
0.000469, 97.985028 
0.000475, 99.442078 
0.000483, 101.044761 
0.000490, 102.602762 
0.000497, 104.047330 
0.000502, 105.443176 
0.000512, 107.372222 
0.000520, 109.046444 
0.000524, 110.613980 
0.000535, 112.263593 
0.000546, 114.130163 
0.000554, 115.876584 
0.000561, 117.833385 
0.000572, 120.040720 
0.000582, 122.012995 
0.000591, 123.936977 
0.000599, 125.529616 
0.000609, 127.777912 
0.000617, 129.503784 
0.000627, 130.954764 
0.000632, 132.475256 
0.000640, 134.227850 
0.000649, 136.263759 
0.000656, 137.568630 
0.000665, 139.426986 
0.000672, 141.287337 
0.000684, 143.093857 
0.000692, 145.133924 
0.000701, 146.748911 
0.000711, 148.601094 
0.000718, 150.162661 
0.000727, 152.443542 
0.000734, 153.949130 
0.000741, 155.536637 
0.000751, 157.194838 
0.000761, 158.893182 
0.000767, 160.505709 
0.000774, 161.839709 
0.000782, 163.813523 
0.000786, 165.317628 
0.000799, 167.389401 
0.000808, 169.293408 
0.000817, 170.941659 
0.000823, 172.372347 
0.000830, 174.037732 
0.000841, 176.121794 
0.000848, 177.969811 
0.000856, 179.629891 
0.000863, 181.066804 
0.000873, 182.848700 
0.000878, 184.265015 
0.000889, 186.366487 
0.000895, 188.372856 
0.000901, 189.698894 
